	RevName	cal_spm_max	cal_spm_min	dlp_rho_max	dlp_rho_min	dlp_spm_max	dlp_spm_min	dlp_timing_offset	geo_spm_max	geo_spm_min	kernels	rsr_16khz_list	tau_resolution	tau_rho_max	tau_rho_min	tau_spm_max	tau_spm_min
24	Rev008I_RSS_2005_141_K34_I	36580	30200	144998.5	73685.75	36579.6147	30848.8609	-0.0146	36974	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnk34rd.1b2']	01KM	144998.75	73727.25	36576.4345	30848.839
25	Rev008I_RSS_2005_141_K34_I	36580	30200	144998.5	73685.75	36579.6147	30848.8609	-0.0146	36974	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnk34rd.1b2']	10KM	144987.5	73737.5	36575.649	30849.8226
26	Rev008I_RSS_2005_141_S43_I	36580	30200	145030	73700.5	36578.4844	30846.1066	-0.0146	36769	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0815nnns43rd.2b2']	01KM	144998.75	74312.5	36531.5824	30848.839
27	Rev008I_RSS_2005_141_S43_I	36580	30200	145030	73700.5	36578.4844	30846.1066	-0.0146	36769	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0815nnns43rd.2b2']	10KM	144987.5	74322.5	36530.816	30849.8226
28	Rev008I_RSS_2005_141_X34_I	36580	30200	145005.25	73689	36579.3656	30848.2707	-0.0146	36974	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnx34rd.1a2']	01KM	144998.75	73854.25	36566.7021	30848.839
29	Rev008I_RSS_2005_141_X34_I	36580	30200	145005.25	73689	36579.3656	30848.2707	-0.0146	36974	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnx34rd.1a2']	10KM	144987.5	73865	36565.8783	30849.8226
30	Rev008I_RSS_2005_141_X43_I	36580	30200	145005.25	73689	36579.3656	30848.2707	-0.0146	36769	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnx43rd.2a2']	01KM	144998.75	73854.25	36566.7021	30848.839
31	Rev008I_RSS_2005_141_X43_I	36580	30200	145005.25	73689	36579.3656	30848.2707	-0.0146	36769	28501	"['050623R_SCPSE_05132_05150.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnx43rd.2a2']	10KM	144987.5	73865	36565.8783	30849.8226
32	Rev009E_RSS_2005_159_K55_E	71060	64240	145002	72480.25	69776.3649	64240.4691	0.0019	74699	62100	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	"['../../../data/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnnk55rd.1b2', '../../../data/cors_0111/sroc_159/rsr/s11sroe2005159_1715nnnk55rd.1b2']"	01KM	144998.75	72564.5	69776.1124	64246.8288
33	Rev009E_RSS_2005_159_K55_E	71060	64240	145002	72480.25	69776.3649	64240.4691	0.0019	74699	62100	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	"['../../../data/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnnk55rd.1b2', '../../../data/cors_0111/sroc_159/rsr/s11sroe2005159_1715nnnk55rd.1b2']"	10KM	144987.5	72575	69775.2384	64247.6214
34	Rev009E_RSS_2005_159_S14_E	74300	64240	145076.5	72507.25	69782.2788	64242.6446	0.0019	74700	62101	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnns14rd.2b2']	01KM	144998.75	73710	69776.2387	64333.4355
35	Rev009E_RSS_2005_159_S14_E	74300	64240	145076.5	72507.25	69782.2788	64242.6446	0.0019	74700	62101	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnns14rd.2b2']	10KM	144987.5	73720	69775.3648	64334.1904
36	Rev009E_RSS_2005_159_X14_E	74300	64240	145018	72484.5	69777.7342	64240.9274	0.0019	74700	62101	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0112/sroc1_159/rsr/s11sroe2005159_1715nnnx14rd.2a2']	01KM	144998.75	72812	69776.2387	64265.6488
37	Rev009E_RSS_2005_159_X14_E	74300	64240	145018	72484.5	69777.7342	64240.9274	0.0019	74700	62101	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0112/sroc1_159/rsr/s11sroe2005159_1715nnnx14rd.2a2']	10KM	144987.5	72822.5	69775.3648	64266.4414
38	Rev009E_RSS_2005_159_X55_E	71060	64240	145018	72486.5	69777.6078	64240.9409	0.0019	74699	62100	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	"['../../../data/cors_0113/sroc1_159/rsr/s11sroe2005159_1715nnnx55rd.1a2', '../../../data/cors_0113/sroc_159/rsr/s11sroe2005159_1715nnnx55rd.1a2']"	01KM	144998.75	72813.75	69776.1124	64265.6436
39	Rev009E_RSS_2005_159_X55_E	71060	64240	145018	72486.5	69777.6078	64240.9409	0.0019	74699	62100	"['050708R_SCPSE_05150_05169.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	"['../../../data/cors_0113/sroc1_159/rsr/s11sroe2005159_1715nnnx55rd.1a2', '../../../data/cors_0113/sroc_159/rsr/s11sroe2005159_1715nnnx55rd.1a2']"	10KM	144987.5	72825	69775.2384	64266.4928
40	Rev010E_RSS_2005_177_K25_E	92200	83600	145002.25	71997.5	89249.5095	83630.955	-0.0076	92998	80772	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnnk25rd.1b2']	01KM	144998.75	72001.25	89249.2349	83631.2391
41	Rev010E_RSS_2005_177_K25_E	92200	83600	145002.25	71997.5	89249.5095	83630.955	-0.0076	92998	80772	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnnk25rd.1b2']	10KM	144987.5	72012.5	89248.3521	83632.0913
42	Rev010E_RSS_2005_177_S14_E	92200	83600	145080.25	71913.75	89255.6305	83624.6112	-0.0076	92998	80754	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnns14rd.2b2']	01KM	144998.75	72789	89249.2351	83690.9182
43	Rev010E_RSS_2005_177_S14_E	92200	83600	145080.25	71913.75	89255.6305	83624.6112	-0.0076	92998	80754	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnns14rd.2b2']	10KM	144987.5	72800	89248.3523	83691.7516
44	Rev010E_RSS_2005_177_X14_E	92200	83600	145019	71979.25	89250.8241	83629.5727	-0.0076	92998	80754	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnnx14rd.2a2']	01KM	144998.75	72001.25	89249.2351	83631.2392
45	Rev010E_RSS_2005_177_X14_E	92200	83600	145019	71979.25	89250.8241	83629.5727	-0.0076	92998	80754	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnnx14rd.2a2']	10KM	144987.5	72012.5	89248.3523	83632.0914
46	Rev010E_RSS_2005_177_X25_E	92200	83600	145019	71979.25	89250.8239	83629.5726	-0.0076	92998	80772	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0115/sroc1_177/rsr/s12sroe2005177_2226nnnx25rd.1a2']	01KM	144998.75	72001.25	89249.2349	83631.2391
