rsr_filename,snr0 (dBHz)
co-s-rss-1-sroc7-v10/cors_0743/SROC7_130/RSR/S40SROI2008130_2218NNNX25RD.1A1, 48.2937
co-s-rss-1-sroc8-v10/cors_0745/SROC8_217/RSR/S42SROI2008217_1120NNNK55RD.2B1, 45.8732
co-s-rss-1-sroc8-v10/cors_0745/SROC8_217/RSR/S42SROI2008217_1120NNNS63RD.1B1, 39.5585
co-s-rss-1-sroc8-v10/cors_0745/SROC8_217/RSR/S42SROI2008217_1120NNNX55RD.2A1, 48.0373
co-s-rss-1-sroc8-v10/cors_0745/SROC8_217/RSR/S42SROI2008217_1120NNNX63RD.1A1, 54.2497
co-s-rss-1-sroc8-v10/cors_0745/SROC8_232/RSR/S43SROI2008232_0517NNNS43RV.1N1, 41.6191
co-s-rss-1-sroc8-v10/cors_0745/SROC8_232/RSR/S43SROI2008232_0517NNNX43RV.1N1, 53.8682
co-s-rss-1-sroc8-v10/cors_0745/SROC8_239/RSR/S43SROI2008239_1410NNNK55RD.2B1, 45.9344
co-s-rss-1-sroc8-v10/cors_0745/SROC8_239/RSR/S43SROI2008239_1410NNNS63RD.1B1, 42.0092
co-s-rss-1-sroc8-v10/cors_0745/SROC8_239/RSR/S43SROI2008239_1410NNNX55RD.2A1, 48.2212
co-s-rss-1-sroc8-v10/cors_0745/SROC8_239/RSR/S43SROI2008239_1410NNNX63RD.1A1, 54.3885
co-s-rss-1-sroc8-v10/cors_0745/SROC8_254/RSR/S43SROI2008254_0810NNNK54RD.2B1, 45.0035
co-s-rss-1-sroc8-v10/cors_0745/SROC8_254/RSR/S43SROI2008254_0810NNNS63RD.1B1, 42.3392
co-s-rss-1-sroc8-v10/cors_0745/SROC8_254/RSR/S43SROI2008254_0810NNNX54RD.2A1, 47.8471
co-s-rss-1-sroc8-v10/cors_0745/SROC8_254/RSR/S43SROI2008254_0810NNNX63RD.1A1, 54.1371
co-s-rss-1-sroc9-v10/cors_0746/SROC9_291/RSR/S44SROC2008291_0330NNNK34RV.1N1, 45.5421
co-s-rss-1-sroc9-v10/cors_0746/SROC9_291/RSR/S44SROC2008291_0330NNNS43RD.1B1, 41.6949
co-s-rss-1-sroc9-v10/cors_0746/SROC9_291/RSR/S44SROC2008291_0330NNNX34RV.1N1, 46.2794
co-s-rss-1-sroc9-v10/cors_0746/SROC9_291/RSR/S44SROC2008291_0330NNNX43RD.1A1, 51.6244
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROE2009360_0145NNNK55RD.1B1, 47.1390
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROE2009360_0145NNNS63RD.2B1, 43.5277
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROE2009360_0145NNNX55RD.1A1, 48.8547
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROE2009360_0145NNNX63RD.2A1, 47.9378
